LOJA;DATA;COMPLEMENTO;SKU;QTDEMOVIMENTADA;VALOR
317;15/01/2025;1235031;999999992522958;1;"69,99"
317;15/01/2025;1235031;999999992355158;1;"69,99"
109;10/01/2025;1233608;999999992108562;1;"199,99"
422;17/01/2025;1236015;999999992612747;1;"139,99"
422;17/01/2025;1236015;999999992617478;1;"79,99"
422;17/01/2025;1236015;999999992460396;1;"69,99"
422;17/01/2025;1236015;999999992478170;1;"39,99"
422;17/01/2025;1236015;999999992478174;1;"39,99"
422;17/01/2025;1236015;999999992499325;1;"69,99"
422;17/01/2025;1236015;999999992523501;1;"69,99"
422;17/01/2025;1236015;999999992538971;1;"99,99"
422;17/01/2025;1236015;999999992586129;1;"99,99"
422;17/01/2025;1236015;999999992612854;1;"139,99"
422;17/01/2025;1236015;999999992617462;1;"99,99"
422;17/01/2025;1236015;999999992617472;1;"49,99"
422;17/01/2025;1236015;999999992620107;1;"99,99"
422;17/01/2025;1236015;999999992620141;1;"99,99"
422;17/01/2025;1236015;999999992620162;1;"99,99"
422;17/01/2025;1236015;999999992623233;1;"99,99"
422;17/01/2025;1236015;999999992623853;1;"99,99"
422;17/01/2025;1236015;999999992631335;1;"69,99"
422;17/01/2025;1236029;999999992499827;1;"19,99"
422;17/01/2025;1236029;999999992466927;1;"29,99"
422;17/01/2025;1236029;999999992494204;1;"9,99"
422;17/01/2025;1236029;999999992494205;1;"9,99"
422;17/01/2025;1236029;999999992495708;1;"9,99"
006;13/01/2025;1234263;999999992570633;1;"349,99"
006;13/01/2025;1234263;999999992503745;1;"319,99"
317;14/01/2025;1235133;999999992504789;1;"129,99"
317;14/01/2025;1235133;999999992520551;1;"149,99"
422;17/01/2025;1236029;999999992499830;1;"19,99"
422;17/01/2025;1236029;999999992514104;1;"69,99"
422;17/01/2025;1236029;999999992577424;1;"59,99"
226;14/01/2025;1235069;999999992501943;1;"229,99"
061;14/01/2025;1234850;999999992089938;1;"69,99"
061;14/01/2025;1234850;999999992613666;1;"189,99"
061;14/01/2025;1234850;999999992091657;1;"19,99"
061;14/01/2025;1234850;999999992501472;1;"79,99"
061;14/01/2025;1234850;999999992501502;1;"79,99"
061;14/01/2025;1234850;999999992528843;1;"99,99"
419;22/01/2025;1240487;999999992489619;1;"49,99"
419;22/01/2025;1240487;999999992000778;1;"14,99"
419;22/01/2025;1240487;999999992362788;1;"49,99"
419;22/01/2025;1240487;999999992495236;1;"14,99"
419;22/01/2025;1240487;999999992495237;2;"14,99"
419;22/01/2025;1240487;999999992521621;3;"14,99"
419;22/01/2025;1240487;999999992521622;1;"14,99"
419;22/01/2025;1240487;999999992607241;1;"34,99"
419;22/01/2025;1240487;999999992608208;1;"54,99"
419;22/01/2025;1240487;999999992608807;1;"44,99"
419;22/01/2025;1240479;999999992626158;1;"399,99"
419;22/01/2025;1240479;999999992628856;1;"99,99"
419;22/01/2025;1240479;999999992061720;1;"249,99"
419;22/01/2025;1240479;999999992379080;1;"149,99"
419;22/01/2025;1240479;999999992573629;1;"479,99"
419;22/01/2025;1240479;999999992593392;1;"329,99"
419;22/01/2025;1240479;999999992626133;1;"399,99"
419;22/01/2025;1240479;999999992630112;1;"229,99"
