LOJA;DATA;COMPLEMENTO;SKU;QTDEMOVIMENTADA;VALOR
062;20/02/2025;1257126;999999992550944;1;"159,99"
062;20/02/2025;1257126;999999992591164;1;"139,99"
367;20/02/2025;1255133;999999992533561;1;"99,99"
367;20/02/2025;1255133;999999992533057;1;"179,99"
367;20/02/2025;1255133;999999992579911;1;"129,99"
367;20/02/2025;1255133;999999992621279;1;"159,99"
367;20/02/2025;1255133;999999992467479;1;"99,99"
367;20/02/2025;1255133;999999992467514;1;"99,99"
367;20/02/2025;1255133;999999992481632;1;"149,99"
367;20/02/2025;1255133;999999992504688;1;"149,99"
367;20/02/2025;1255133;999999992533565;1;"99,99"
367;20/02/2025;1255133;999999992585374;1;"99,99"
415;20/02/2025;1256203;999999992024674;1;"79,99"
415;20/02/2025;1256203;999999992369499;1;"124,99"
367;20/02/2025;1255114;999999992527083;1;"149,99"
367;20/02/2025;1255114;999999992527084;1;"149,99"
367;20/02/2025;1255114;999999992523207;1;"99,99"
367;20/02/2025;1255114;999999992527075;1;"179,99"
367;20/02/2025;1255114;999999992527341;2;"179,99"
367;20/02/2025;1255114;999999992527343;1;"179,99"
367;20/02/2025;1255114;999999992527344;1;"179,99"
367;20/02/2025;1255114;999999992527356;1;"199,99"
367;20/02/2025;1255114;999999992530116;1;"199,99"
367;20/02/2025;1255114;999999992531593;1;"299,99"
367;20/02/2025;1255114;999999992531843;1;"299,99"
367;20/02/2025;1255114;999999992532459;1;"179,99"
367;20/02/2025;1255114;999999992572916;1;"229,99"
367;20/02/2025;1255114;999999992581566;2;"175,99"
367;20/02/2025;1255114;999999992582484;1;"99,99"
367;20/02/2025;1255114;999999992584559;1;"99,99"
101;06/02/2025;1249652;999999992504074;1;"39,99"
367;21/02/2025;1255062;999999992486308;1;"149,99"
367;21/02/2025;1255062;999999992471624;1;"119,99"
367;21/02/2025;1255062;999999992263189;1;"199,99"
367;21/02/2025;1255062;999999992451741;1;"149,99"
367;21/02/2025;1255062;999999992610017;1;"139,99"
367;21/02/2025;1255062;999999992379534;1;"99,99"
367;21/02/2025;1255062;999999992491812;1;"149,99"
367;21/02/2025;1255062;999999992546272;1;"99,99"
367;21/02/2025;1255062;999999992580835;1;"99,99"
367;21/02/2025;1255062;999999992580859;1;"129,99"
367;21/02/2025;1255062;999999992609646;1;"149,99"
367;21/02/2025;1255062;999999992626638;1;"299,99"
302;05/02/2025;1247785;999999992574520;2;"59,99"
302;05/02/2025;1247785;999999992023242;1;"7,99"
302;05/02/2025;1247785;999999992023249;2;"7,99"
302;05/02/2025;1247785;999999992493107;1;"29,99"
302;05/02/2025;1247785;999999992574512;1;"69,99"
302;05/02/2025;1247785;999999992575230;1;"59,99"
367;20/02/2025;1255093;999999992573247;2;"199,99"
367;20/02/2025;1255093;999999992495923;1;"249,99"
367;20/02/2025;1255093;999999992418775;1;"19,99"
217;03/02/2025;1246915;999999992580510;1;"459,99"
217;03/02/2025;1246925;999999992439376;1;"49,99"
217;03/02/2025;1246925;999999992139057;1;"99,99"
217;03/02/2025;1246925;999999992211867;1;"119,99"
356;11/02/2025;1251481;999999992524862;1;"199,99"
326;17/02/2025;1253054;999999992548222;1;"99,99"
006;19/02/2025;1256478;999999992551539;1;"139,99"
017;10/02/2025;1250816;999999992489865;1;"79,99"
017;10/02/2025;1250816;999999992513474;1;"179,99"
058;13/02/2025;1253181;999999992631474;1;"399,99"
356;11/02/2025;1251481;999999992615491;1;"149,99"
209;13/02/2025;1253735;999999992575479;2;"39,99"
209;13/02/2025;1253735;999999992320462;1;"9,99"
209;13/02/2025;1253735;999999992363461;1;"7,99"
209;13/02/2025;1253735;999999992358002;1;"29,99"
209;13/02/2025;1253735;999999991501895;1;"9,99"
209;13/02/2025;1253735;999999992119453;1;"26,99"
209;13/02/2025;1253735;999999992568742;1;"29,99"
209;13/02/2025;1253735;999999992451014;1;"29,99"
209;13/02/2025;1253735;999999992568790;1;"39,99"
209;13/02/2025;1253735;999999992117850;1;"34,99"
209;13/02/2025;1253735;999999992328836;1;"14,99"
209;13/02/2025;1253735;999999992236374;1;"26,99"
209;13/02/2025;1253735;999999992117921;1;"5,99"
209;13/02/2025;1253735;999999992217225;1;"26,99"
209;13/02/2025;1253735;999999992118045;1;"56,99"
209;13/02/2025;1253735;999999992151940;2;"29,99"
209;13/02/2025;1253735;999999992236375;2;"26,99"
209;13/02/2025;1253735;999999991805646;1;"149,99"
209;13/02/2025;1253735;999999992377661;3;"39,99"
209;13/02/2025;1252698;999999992632120;1;"129,99"
209;13/02/2025;1252698;999999992619088;2;"59,99"
209;13/02/2025;1252698;50210110276330;1;"44,99"
209;13/02/2025;1252698;999999992630798;2;"74,99"
209;13/02/2025;1252698;999999992572413;1;"79,99"
209;13/02/2025;1252698;999999992632121;1;"129,99"
116;04/02/2025;1247726;999999992369592;1;"129,99"
116;04/02/2025;1247758;999999992459410;1;"19,99"
017;10/02/2025;1250785;999999992532765;1;"159,99"
017;10/02/2025;1250785;999999992325805;1;"69,99"
017;10/02/2025;1250785;999999992437364;1;"109,99"
017;10/02/2025;1250785;999999992579945;1;"109,99"
017;10/02/2025;1250785;999999992545247;1;"99,99"
017;10/02/2025;1250785;999999992622768;1;"209,99"
017;10/02/2025;1250785;999999992593772;1;"249,99"
017;10/02/2025;1250785;999999992626388;1;"119,99"
017;10/02/2025;1250789;999999992577156;1;"299,99"
017;10/02/2025;1250789;999999992545262;1;"349,99"
367;20/02/2025;1255051;999999992566767;1;"59,99"
415;20/02/2025;1256202;999999992447124;1;"79,99"
415;20/02/2025;1256202;999999991686383;1;"119,99"
415;20/02/2025;1256202;999999992042731;1;"149,99"
415;20/02/2025;1256202;999999992491974;1;"129,99"
415;20/02/2025;1256202;999999992441138;2;"79,99"
415;20/02/2025;1256202;999999992496191;1;"79,99"
415;20/02/2025;1256202;999999992504028;1;"69,99"
