LOJA;DATA;COMPLEMENTO;SKU;QTDEMOVIMENTADA;VALOR
338;07/05/2025;1290557;999999992638688;1;"249,99"
338;07/05/2025;1290557;999999992639215;1;"179,99"
338;07/05/2025;1290557;999999992640096;1;"179,99"
338;07/05/2025;1290551;999999992648696;1;"119,99"
338;07/05/2025;1290551;999999992338658;1;"179,99"
338;07/05/2025;1290551;999999992350139;1;"149,99"
338;07/05/2025;1290551;999999992351358;1;"179,99"
338;07/05/2025;1290551;999999992460163;1;"149,99"
338;07/05/2025;1290551;999999992460164;1;"149,99"
338;07/05/2025;1290551;999999992460165;1;"149,99"
338;07/05/2025;1290551;999999992504683;1;"99,99"
338;07/05/2025;1290551;999999992524892;1;"199,99"
338;07/05/2025;1290551;999999992526894;1;"109,99"
338;07/05/2025;1290551;999999992528021;1;"229,99"
338;07/05/2025;1290551;999999992532244;1;"179,99"
338;07/05/2025;1290551;999999992590129;1;"89,99"
338;07/05/2025;1290551;999999992606667;1;"229,99"
338;07/05/2025;1290551;999999992629886;1;"179,99"
338;07/05/2025;1290551;999999992629887;1;"179,99"
338;07/05/2025;1290551;999999992635915;1;"149,99"
338;07/05/2025;1290551;999999992648697;1;"119,99"
111;06/05/2025;1290646;999999992005906;1;"39,99"
209;08/05/2025;1291770;999999991657437;1;"269,99"
074;06/05/2025;1290710;999999992578445;1;"89,99"
074;06/05/2025;1290710;999999992578446;1;"89,99"
074;06/05/2025;1290710;999999992578510;1;"89,99"
203;05/05/2025;1288801;999999991890324;-1;"199,99"
203;05/05/2025;1288801;999999992009259;-1;"199,99"
203;05/05/2025;1288801;999999992073755;1;"339,99"
203;05/05/2025;1288801;999999992082861;-1;"79,99"
203;05/05/2025;1288801;999999992201758;1;"229,99"
203;05/05/2025;1288801;999999992201761;1;"229,99"
203;05/05/2025;1288801;999999992201771;-1;"279,99"
203;05/05/2025;1288801;999999992256871;1;"159,99"
203;05/05/2025;1288801;999999992291360;-1;"179,99"
203;05/05/2025;1288801;999999992291367;-1;"179,99"
203;05/05/2025;1288801;999999992291491;1;"129,99"
203;05/05/2025;1288801;999999992291507;1;"129,99"
203;05/05/2025;1288801;999999992291508;1;"129,99"
203;05/05/2025;1288801;999999992291509;1;"129,99"
203;05/05/2025;1288801;999999992317965;1;"159,99"
203;05/05/2025;1288801;999999992327068;-1;"179,99"
203;05/05/2025;1288801;999999992434232;1;"179,99"
203;05/05/2025;1288806;999999992241753;-1;"149,99"
203;05/05/2025;1288806;999999992241754;-1;"149,99"
203;05/05/2025;1288806;999999992241755;-1;"149,99"
203;05/05/2025;1288806;999999992241762;1;"129,99"
203;05/05/2025;1288806;999999992241771;1;"59,99"
203;05/05/2025;1288806;999999992260652;1;"49,99"
203;05/05/2025;1288806;999999992261987;1;"49,99"
203;05/05/2025;1288806;999999992265994;1;"99,99"
203;05/05/2025;1288806;999999992303461;1;"499,99"
203;05/05/2025;1288806;999999992303483;1;"349,99"
600;01/05/2025;1287460;999999992590783;4;"199,99"
600;01/05/2025;1287460;999999992590784;1;"199,99"
600;01/05/2025;1287460;999999992597825;1;"189,99"
600;01/05/2025;1287460;999999992598032;1;"229,99"
600;01/05/2025;1287460;999999992598779;1;"199,99"
600;01/05/2025;1287460;999999992604570;2;"269,99"
600;01/05/2025;1287460;999999992604600;1;"289,99"
600;01/05/2025;1287460;999999992604630;1;"289,99"
600;01/05/2025;1287460;999999992616669;1;"189,99"
128;05/05/2025;1289776;999999992575809;1;"139,99"
217;09/05/2025;1292165;999999992345430;1;"79,99"
203;02/05/2025;1288761;999999992040493;1;"39,99"
047;07/05/2025;1291281;999999992007129;1;"319,99"
226;02/05/2025;1288921;999999992541815;1;"179,99"
226;02/05/2025;1288929;999999992581125;1;"239,99"
226;02/05/2025;1288929;999999992578770;1;"179,99"
226;02/05/2025;1288929;999999992593297;1;"189,99"
226;02/05/2025;1288929;999999992612811;1;"149,99"
224;05/05/2025;1289683;999999992599033;1;"89,99"
345;05/05/2025;1290064;999999992615030;1;"149,99"
345;05/05/2025;1290122;999999992580337;1;"699,99"
345;05/05/2025;1290122;999999992379078;1;"149,99"
345;05/05/2025;1290122;999999992502385;1;"299,99"
345;05/05/2025;1290122;999999992572234;1;"399,99"
439;08/05/2025;1291542;999999992489457;1;"19,99"
439;08/05/2025;1291542;999999992592318;1;"109,99"
439;08/05/2025;1291542;999999992634695;1;"69,99"
203;05/05/2025;1288765;999999992210776;1;"119,99"
203;05/05/2025;1288765;999999992255104;-1;"149,99"
203;05/05/2025;1288765;999999992255106;-2;"149,99"
203;05/05/2025;1288765;999999992257295;1;"279,99"
203;05/05/2025;1288765;999999992259491;-2;"99,99"
203;05/05/2025;1288765;999999992262936;1;"79,99"
203;05/05/2025;1288765;999999992265218;-1;"189,99"
203;05/05/2025;1288765;999999992343166;-1;"139,99"
203;05/05/2025;1288765;999999992350447;-2;"349,99"
203;05/05/2025;1288765;999999992350881;1;"149,99"
203;05/05/2025;1288765;999999992362524;1;"189,99"
203;05/05/2025;1288765;999999992364459;1;"219,99"
203;05/05/2025;1288765;999999992564202;1;"179,99"
203;05/05/2025;1288777;999999992240033;1;"79,99"
203;05/05/2025;1288777;999999992266133;1;"59,99"
203;05/05/2025;1288777;999999992280002;1;"79,99"
203;05/05/2025;1288777;999999992285138;1;"89,99"
203;05/05/2025;1288777;999999992285198;-1;"69,99"
203;05/05/2025;1288777;999999992292386;1;"69,99"
203;05/05/2025;1288777;999999992302278;1;"59,99"
203;05/05/2025;1288777;999999992304156;1;"69,99"
203;05/05/2025;1288777;999999992314763;1;"49,99"
203;05/05/2025;1288777;999999992318829;1;"119,99"
203;05/05/2025;1288777;999999992321656;1;"39,99"
203;05/05/2025;1288777;999999992438068;1;"79,99"
203;05/05/2025;1288777;999999992454792;1;"99,99"
203;05/05/2025;1288777;999999992476792;1;"89,99"
203;05/05/2025;1288777;999999992498123;1;"119,99"
