LOJA;DATA;SKU;QTD_ANTIGA;QTDE_AJUSTE;TIPO_AJUSTE
006;22/04/2025;999999992271045;11;1;ENTRADA NO ESTOQUE
299;10/01/2025;999999992271045;1;1;SA?DA DO ESTOQUE
299;10/01/2025;999999992271045;2;1;SA?DA DO ESTOQUE
069;10/01/2025;999999992622128;2;1;AJUSTE CONTAGEM ENTRADA
DES;16/06/2025;999999992271046;1;1;SA?DA DO ESTOQUE
069;10/01/2025;999999992622128;0;1;AJUSTE CONTAGEM ENTRADA
299;10/01/2025;999999992271046;2;1;SA?DA DO ESTOQUE
115;26/05/2025;999999992271047;1;1;AJUSTE CONTAGEM SAIDA
DES;16/06/2025;999999992271047;1;1;SA?DA DO ESTOQUE
069;18/02/2025;999999992271048;3;1;SA?DA DO ESTOQUE
061;26/03/2025;999999992271048;7;1;AJUSTE CONTAGEM SAIDA
299;02/06/2025;999999992271049;1;1;SA?DA DO ESTOQUE
DES;16/06/2025;999999992271058;1;1;SA?DA DO ESTOQUE
008;29/01/2025;999999992271086;0;1;ENTRADA NO ESTOQUE
019;25/02/2025;999999992271087;1;1;SA?DA DO ESTOQUE
061;27/03/2025;999999992271089;-1;1;ENTRADA NO ESTOQUE
299;10/01/2025;999999992271097;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999992271098;1;1;SA?DA DO ESTOQUE
299;10/01/2025;999999992271098;2;1;SA?DA DO ESTOQUE
299;10/01/2025;999999992271099;2;1;SA?DA DO ESTOQUE
299;13/01/2025;999999992271099;1;1;SA?DA DO ESTOQUE
299;10/01/2025;999999992271099;3;1;SA?DA DO ESTOQUE
061;26/03/2025;999999992271109;0;1;ENTRADA NO ESTOQUE
DES;16/06/2025;999999992271116;1;1;SA?DA DO ESTOQUE
111;05/05/2025;999999992271124;7;1;ENTRADA NO ESTOQUE
009;15/04/2025;999999992271128;0;1;ENTRADA NO ESTOQUE
065;21/01/2025;999999992271130;0;1;ENTRADA NO ESTOQUE
299;13/01/2025;999999992271135;1;1;SA?DA DO ESTOQUE
024;21/05/2025;999999992271184;1;1;SA?DA DO ESTOQUE
092;17/03/2025;999999992271275;1;1;SA?DA DO ESTOQUE
101;23/01/2025;999999992271386;0;1;ENTRADA NO ESTOQUE
299;21/02/2025;999999992271389;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992271392;1;1;SA?DA DO ESTOQUE
299;10/01/2025;999999992271393;1;1;SA?DA DO ESTOQUE
299;10/01/2025;999999992271405;1;1;SA?DA DO ESTOQUE
026;20/02/2025;999999992271417;2;1;SA?DA DO ESTOQUE
299;21/02/2025;999999992271420;1;1;SA?DA DO ESTOQUE
378;10/01/2025;999999992607813;1;1;AJUSTE CONTAGEM ENTRADA
203;20/02/2025;999999992272291;1;1;AJUSTE CONTAGEM SAIDA
212;07/03/2025;999999992272326;14;1;SA?DA DO ESTOQUE
211;07/03/2025;999999992272326;2;1;ENTRADA NO ESTOQUE
217;03/02/2025;999999992272326;9;1;ENTRADA NO ESTOQUE
217;28/01/2025;999999992272326;9;1;AJUSTE CONTAGEM SAIDA
209;13/02/2025;999999992272326;7;1;ENTRADA NO ESTOQUE
109;10/01/2025;999999992625570;0;1;AJUSTE CONTAGEM ENTRADA
441;10/01/2025;999999992622529;1;1;AJUSTE CONTAGEM ENTRADA
DES;16/06/2025;999999992272502;1;1;SA?DA DO ESTOQUE
299;23/05/2025;999999992272566;1;1;SA?DA DO ESTOQUE
299;23/05/2025;999999992272567;1;1;SA?DA DO ESTOQUE
299;23/05/2025;999999992272575;1;1;SA?DA DO ESTOQUE
024;21/05/2025;999999992272579;2;1;SA?DA DO ESTOQUE
024;21/05/2025;999999992272579;0;1;ENTRADA NO ESTOQUE
208;03/04/2025;999999992272627;1;1;AJUSTE CONTAGEM SAIDA
109;07/03/2025;999999992272636;1;1;SA?DA DO ESTOQUE
337;13/05/2025;999999992272696;0;1;ENTRADA NO ESTOQUE
212;22/01/2025;999999992272696;0;1;ENTRADA NO ESTOQUE
062;19/02/2025;999999992272699;0;1;ENTRADA NO ESTOQUE
111;19/02/2025;999999992272699;-1;1;ENTRADA NO ESTOQUE
062;19/02/2025;999999992272699;1;1;SA?DA DO ESTOQUE
076;14/04/2025;999999992272704;0;1;ENTRADA NO ESTOQUE
423;21/04/2025;999999992272705;2;1;ENTRADA NO ESTOQUE
067;10/01/2025;999999992622683;2;1;AJUSTE CONTAGEM ENTRADA
217;03/02/2025;999999992272725;39;1;SA?DA DO ESTOQUE
217;09/05/2025;999999992272726;9;3;AJUSTE CONTAGEM SAIDA
217;03/02/2025;999999992272726;12;1;ENTRADA NO ESTOQUE
217;09/05/2025;999999992272730;42;1;SA?DA DO ESTOQUE
299;16/05/2025;999999992272779;1;1;SA?DA DO ESTOQUE
299;16/05/2025;999999992272787;1;1;SA?DA DO ESTOQUE
299;24/01/2025;999999992272787;1;1;SA?DA DO ESTOQUE
299;16/05/2025;999999992272788;2;2;SA?DA DO ESTOQUE
299;16/05/2025;999999992272795;2;2;SA?DA DO ESTOQUE
299;16/05/2025;999999992272796;2;2;SA?DA DO ESTOQUE
067;10/01/2025;999999992622684;2;3;AJUSTE CONTAGEM ENTRADA
124;22/04/2025;999999992272933;0;1;ENTRADA NO ESTOQUE
299;13/01/2025;999999992272988;1;1;SA?DA DO ESTOQUE
351;16/05/2025;999999992273014;3;1;ENTRADA NO ESTOQUE
347;17/06/2025;999999992273023;5;1;SA?DA DO ESTOQUE
076;26/02/2025;999999992273023;2;1;AJUSTE CONTAGEM SAIDA
024;14/04/2025;999999992273024;4;1;SA?DA DO ESTOQUE
067;10/01/2025;999999992622685;0;1;AJUSTE CONTAGEM ENTRADA
428;05/05/2025;999999992273031;0;1;ENTRADA NO ESTOQUE
125;10/01/2025;999999992621140;0;1;AJUSTE CONTAGEM ENTRADA
318;07/04/2025;999999992273033;2;1;AJUSTE CONTAGEM SAIDA
028;18/02/2025;999999992273038;0;1;ENTRADA NO ESTOQUE
351;07/05/2025;999999992273040;1;1;ENTRADA NO ESTOQUE
092;17/03/2025;999999992273077;1;1;SA?DA DO ESTOQUE
092;17/03/2025;999999992273080;1;1;SA?DA DO ESTOQUE
010;07/04/2025;999999992273228;3;3;SA?DA DO ESTOQUE
010;07/04/2025;999999992273229;6;6;SA?DA DO ESTOQUE
010;07/04/2025;999999992273230;1;1;SA?DA DO ESTOQUE
299;30/04/2025;999999992273230;3;3;SA?DA DO ESTOQUE
010;07/04/2025;999999992273231;6;6;SA?DA DO ESTOQUE
010;07/04/2025;999999992273232;4;4;SA?DA DO ESTOQUE
010;07/04/2025;999999992273233;2;2;SA?DA DO ESTOQUE
203;20/02/2025;999999992273257;7;1;AJUSTE CONTAGEM SAIDA
125;10/01/2025;999999992621144;0;1;AJUSTE CONTAGEM ENTRADA
212;14/02/2025;999999992273335;-1;1;ENTRADA NO ESTOQUE
209;12/02/2025;999999992273335;0;1;ENTRADA NO ESTOQUE
024;21/05/2025;999999992273350;2;1;ENTRADA NO ESTOQUE
024;10/06/2025;999999992273550;3;1;SA?DA DO ESTOQUE
225;24/02/2025;999999992273589;4;1;ENTRADA NO ESTOQUE
024;21/05/2025;999999992273632;2;1;SA?DA DO ESTOQUE
024;14/04/2025;999999992273662;1;1;SA?DA DO ESTOQUE
024;14/04/2025;999999992273664;3;1;SA?DA DO ESTOQUE
076;27/02/2025;999999992273668;1;1;ENTRADA NO ESTOQUE
001;26/05/2025;999999992273688;0;1;ENTRADA NO ESTOQUE
DES;02/06/2025;999999992273693;2;2;SA?DA DO ESTOQUE
125;10/01/2025;999999992621145;1;1;AJUSTE CONTAGEM ENTRADA
209;10/01/2025;999999992625308;1;1;AJUSTE CONTAGEM ENTRADA
034;27/01/2025;999999992273694;1;1;AJUSTE CONTAGEM SAIDA
001;26/05/2025;999999992273696;0;1;ENTRADA NO ESTOQUE
DES;02/06/2025;999999992273696;2;2;SA?DA DO ESTOQUE
034;12/02/2025;999999992273698;1;1;AJUSTE CONTAGEM SAIDA
299;02/06/2025;999999992273908;1;1;SA?DA DO ESTOQUE
124;22/04/2025;999999992274316;0;1;ENTRADA NO ESTOQUE
113;25/02/2025;999999992274525;1;1;AJUSTE CONTAGEM SAIDA
006;10/01/2025;999999992625469;1;1;AJUSTE CONTAGEM ENTRADA
299;10/01/2025;999999992274577;1;1;SA?DA DO ESTOQUE
299;03/03/2025;999999992274578;1;1;SA?DA DO ESTOQUE
299;15/03/2025;999999992274630;1;1;SA?DA DO ESTOQUE
299;15/03/2025;999999992274638;1;1;SA?DA DO ESTOQUE
076;14/04/2025;999999992274640;0;1;ENTRADA NO ESTOQUE
203;20/02/2025;999999992274653;-1;1;ENTRADA NO ESTOQUE
064;31/03/2025;999999992274658;2;2;SA?DA DO ESTOQUE
062;20/02/2025;999999992274666;1;1;AJUSTE CONTAGEM SAIDA
009;10/01/2025;999999992610097;1;1;AJUSTE CONTAGEM ENTRADA
205;05/02/2025;999999992274811;2;1;AJUSTE CONTAGEM SAIDA
007;11/01/2025;999999990202277;-1;1;AJUSTE CONTAGEM ENTRADA
205;05/02/2025;999999992274813;1;1;ENTRADA NO ESTOQUE
205;05/02/2025;999999992274813;2;1;SA?DA DO ESTOQUE
061;27/03/2025;999999992274866;1;1;SA?DA DO ESTOQUE
003;23/04/2025;999999992274867;0;1;ENTRADA NO ESTOQUE
367;11/01/2025;999999991412241;-1;1;AJUSTE CONTAGEM ENTRADA
024;10/06/2025;999999992274925;1;1;SA?DA DO ESTOQUE
092;13/03/2025;999999992275041;1;1;SA?DA DO ESTOQUE
038;11/01/2025;999999991858990;0;1;AJUSTE CONTAGEM ENTRADA
038;11/01/2025;999999991858997;-1;1;AJUSTE CONTAGEM ENTRADA
092;13/03/2025;999999992275386;3;1;SA?DA DO ESTOQUE
227;10/04/2025;999999992275408;9;11;ENTRADA NO ESTOQUE
211;07/03/2025;999999992275408;4;1;ENTRADA NO ESTOQUE
209;13/02/2025;999999992275408;3;1;ENTRADA NO ESTOQUE
203;20/02/2025;999999992275423;1;1;ENTRADA NO ESTOQUE
203;02/05/2025;999999992275425;1;1;AJUSTE CONTAGEM SAIDA
092;14/03/2025;999999992275425;1;1;SA?DA DO ESTOQUE
203;20/02/2025;999999992275433;3;1;ENTRADA NO ESTOQUE
203;20/02/2025;999999992275437;2;1;ENTRADA NO ESTOQUE
367;11/01/2025;999999991899392;-1;1;AJUSTE CONTAGEM ENTRADA
038;11/01/2025;999999991969842;-1;1;AJUSTE CONTAGEM ENTRADA
203;20/02/2025;999999992275441;2;1;AJUSTE CONTAGEM SAIDA
007;11/01/2025;999999991991965;0;1;AJUSTE CONTAGEM ENTRADA
367;11/01/2025;999999992023241;-1;1;AJUSTE CONTAGEM ENTRADA
203;20/02/2025;999999992275444;1;1;AJUSTE CONTAGEM SAIDA
404;11/01/2025;999999992038945;0;1;AJUSTE CONTAGEM ENTRADA
203;02/05/2025;999999992275451;1;1;AJUSTE CONTAGEM SAIDA
203;20/02/2025;999999992275461;10;1;AJUSTE CONTAGEM SAIDA
212;14/03/2025;999999992275482;-1;1;ENTRADA NO ESTOQUE
203;20/02/2025;999999992275549;2;2;SA?DA DO ESTOQUE
024;21/05/2025;999999992275576;2;1;SA?DA DO ESTOQUE
024;21/05/2025;999999992275948;1;1;SA?DA DO ESTOQUE
010;19/05/2025;999999992275985;1;1;SA?DA DO ESTOQUE
367;11/01/2025;999999992113075;-1;1;AJUSTE CONTAGEM ENTRADA
203;20/02/2025;999999992276135;1;1;AJUSTE CONTAGEM SAIDA
299;23/05/2025;999999992276171;1;1;SA?DA DO ESTOQUE
009;16/06/2025;999999992276250;-1;1;ENTRADA NO ESTOQUE
026;05/03/2025;999999992276250;1;1;SA?DA DO ESTOQUE
020;17/05/2025;999999992276251;1;1;AJUSTE CONTAGEM SAIDA
349;19/05/2025;999999992276264;2;1;AJUSTE CONTAGEM SAIDA
353;11/03/2025;999999992276264;1;1;AJUSTE CONTAGEM SAIDA
064;11/01/2025;999999992303677;0;1;AJUSTE CONTAGEM ENTRADA
367;11/01/2025;999999992325815;-1;1;AJUSTE CONTAGEM ENTRADA
367;11/01/2025;999999992325817;-1;1;AJUSTE CONTAGEM ENTRADA
039;11/01/2025;999999992333754;0;1;AJUSTE CONTAGEM ENTRADA
006;11/01/2025;999999992347079;0;1;AJUSTE CONTAGEM ENTRADA
353;26/04/2025;999999992276267;1;1;AJUSTE CONTAGEM SAIDA
074;14/01/2025;999999992276267;1;1;AJUSTE CONTAGEM SAIDA
209;12/02/2025;999999992276267;0;1;ENTRADA NO ESTOQUE
203;02/05/2025;999999992276386;1;1;SA?DA DO ESTOQUE
367;11/01/2025;999999992350139;-1;1;AJUSTE CONTAGEM ENTRADA
212;11/01/2025;999999992351945;0;1;AJUSTE CONTAGEM ENTRADA
367;11/01/2025;999999992369490;-1;1;AJUSTE CONTAGEM ENTRADA
124;21/03/2025;999999992276581;1;1;SA?DA DO ESTOQUE
351;21/03/2025;999999992276581;0;1;ENTRADA NO ESTOQUE
367;11/01/2025;999999992420786;-2;1;AJUSTE CONTAGEM ENTRADA
367;11/01/2025;999999992422199;-1;1;AJUSTE CONTAGEM ENTRADA
404;25/04/2025;999999992276583;4;1;AJUSTE CONTAGEM SAIDA
301;13/03/2025;999999992276584;1;1;AJUSTE CONTAGEM SAIDA
125;10/02/2025;999999992276585;3;1;AJUSTE CONTAGEM SAIDA
058;15/01/2025;999999992276585;-1;1;ENTRADA NO ESTOQUE
009;21/03/2025;999999992276617;0;1;ENTRADA NO ESTOQUE
439;08/05/2025;999999992276695;0;1;ENTRADA NO ESTOQUE
428;22/04/2025;999999992276699;-1;1;ENTRADA NO ESTOQUE
428;24/02/2025;999999992276699;3;1;AJUSTE CONTAGEM SAIDA
045;11/01/2025;999999992439175;-1;1;AJUSTE CONTAGEM ENTRADA
062;19/02/2025;999999992276762;2;1;AJUSTE CONTAGEM SAIDA
001;14/01/2025;999999992276763;3;1;AJUSTE CONTAGEM SAIDA
039;11/01/2025;999999992446696;-1;1;AJUSTE CONTAGEM ENTRADA
299;25/04/2025;999999992276861;1;1;SA?DA DO ESTOQUE
299;25/04/2025;999999992276865;1;1;SA?DA DO ESTOQUE
034;11/01/2025;999999992464336;-1;1;AJUSTE CONTAGEM ENTRADA
299;25/04/2025;999999992276867;1;1;SA?DA DO ESTOQUE
001;30/01/2025;999999992276867;0;1;ENTRADA NO ESTOQUE
001;22/01/2025;999999992276867;1;1;AJUSTE CONTAGEM SAIDA
299;16/05/2025;999999992276868;1;1;SA?DA DO ESTOQUE
109;07/03/2025;999999992276868;-1;1;ENTRADA NO ESTOQUE
299;03/03/2025;999999992276870;2;1;SA?DA DO ESTOQUE
299;25/04/2025;999999992276870;1;1;SA?DA DO ESTOQUE
109;07/03/2025;999999992276871;3;1;ENTRADA NO ESTOQUE
299;15/03/2025;999999992276985;1;1;SA?DA DO ESTOQUE
346;11/01/2025;999999992471899;2;1;AJUSTE CONTAGEM ENTRADA
227;28/02/2025;999999992277073;0;1;ENTRADA NO ESTOQUE
297;04/02/2025;999999992277268;1;1;AJUSTE CONTAGEM SAIDA
203;21/02/2025;999999992277281;1;1;AJUSTE CONTAGEM SAIDA
203;21/02/2025;999999992277281;1;1;AJUSTE CONTAGEM SAIDA
203;24/02/2025;999999992277281;-1;1;ENTRADA NO ESTOQUE
058;15/01/2025;999999992277340;1;1;SA?DA DO ESTOQUE
221;07/01/2025;999999992277347;0;1;ENTRADA NO ESTOQUE
221;07/01/2025;999999992277352;0;1;ENTRADA NO ESTOQUE
221;07/01/2025;999999992277367;0;1;ENTRADA NO ESTOQUE
129;13/06/2025;999999992277398;1;1;SA?DA DO ESTOQUE
367;11/01/2025;999999992473808;-1;1;AJUSTE CONTAGEM ENTRADA
203;19/02/2025;999999992277482;1;1;AJUSTE CONTAGEM SAIDA
065;08/04/2025;999999992277944;1;1;ENTRADA NO ESTOQUE
061;26/03/2025;999999992277944;1;1;AJUSTE CONTAGEM SAIDA
299;13/01/2025;999999992277944;1;1;SA?DA DO ESTOQUE
367;11/01/2025;999999992473921;-1;1;AJUSTE CONTAGEM ENTRADA
299;13/01/2025;999999992277952;2;2;SA?DA DO ESTOQUE
127;03/06/2025;999999992277967;2;1;ENTRADA NO ESTOQUE
127;04/06/2025;999999992277967;3;1;SA?DA DO ESTOQUE
299;13/01/2025;999999992278064;1;1;SA?DA DO ESTOQUE
302;11/01/2025;999999992475066;1;1;AJUSTE CONTAGEM ENTRADA
090;19/02/2025;999999992278420;-1;1;ENTRADA NO ESTOQUE
122;23/04/2025;999999992278517;1;1;AJUSTE CONTAGEM SAIDA
367;11/01/2025;999999992480871;-1;1;AJUSTE CONTAGEM ENTRADA
363;14/03/2025;999999992278517;2;1;AJUSTE CONTAGEM SAIDA
092;17/03/2025;999999992278773;1;1;SA?DA DO ESTOQUE
001;25/04/2025;999999992278911;1;1;SA?DA DO ESTOQUE
001;25/01/2025;999999992278912;1;1;AJUSTE CONTAGEM SAIDA
001;30/01/2025;999999992278912;0;1;ENTRADA NO ESTOQUE
076;11/04/2025;999999992278930;1;1;AJUSTE CONTAGEM SAIDA
343;21/04/2025;999999992278972;0;1;ENTRADA NO ESTOQUE
343;08/01/2025;999999992278972;0;1;ENTRADA NO ESTOQUE
367;11/01/2025;999999992490475;-1;1;AJUSTE CONTAGEM ENTRADA
024;10/06/2025;999999992279029;1;1;SA?DA DO ESTOQUE
226;17/03/2025;999999992279031;2;2;ENTRADA NO ESTOQUE
226;17/03/2025;999999992279032;1;1;ENTRADA NO ESTOQUE
226;17/03/2025;999999992279033;2;1;ENTRADA NO ESTOQUE
203;20/02/2025;999999992279225;1;1;AJUSTE CONTAGEM SAIDA
038;11/01/2025;999999992492837;0;1;AJUSTE CONTAGEM ENTRADA
203;05/05/2025;999999992279336;1;1;SA?DA DO ESTOQUE
227;08/02/2025;999999992279336;-1;1;ENTRADA NO ESTOQUE
024;20/05/2025;999999992279347;2;1;SA?DA DO ESTOQUE
299;03/03/2025;999999992279349;1;1;SA?DA DO ESTOQUE
367;11/01/2025;999999992493996;-1;1;AJUSTE CONTAGEM ENTRADA
203;20/02/2025;999999992279378;1;1;AJUSTE CONTAGEM SAIDA
024;21/05/2025;999999992279491;2;1;SA?DA DO ESTOQUE
024;21/05/2025;999999992279491;0;1;ENTRADA NO ESTOQUE
299;03/01/2025;999999992279587;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992279600;1;1;SA?DA DO ESTOQUE
299;15/03/2025;999999992279611;1;1;SA?DA DO ESTOQUE
299;21/02/2025;999999992279611;1;1;SA?DA DO ESTOQUE
076;05/02/2025;999999992279611;1;1;AJUSTE CONTAGEM SAIDA
299;03/03/2025;999999992279612;1;1;SA?DA DO ESTOQUE
299;15/03/2025;999999992279616;1;1;SA?DA DO ESTOQUE
367;11/01/2025;999999992494432;-1;1;AJUSTE CONTAGEM ENTRADA
299;03/03/2025;999999992279626;1;1;SA?DA DO ESTOQUE
074;06/05/2025;999999992279637;0;1;ENTRADA NO ESTOQUE
061;27/03/2025;999999992279637;2;1;ENTRADA NO ESTOQUE
024;22/01/2025;999999992279637;5;1;AJUSTE CONTAGEM SAIDA
299;03/03/2025;999999992279638;1;1;SA?DA DO ESTOQUE
367;11/01/2025;999999992494883;-1;1;AJUSTE CONTAGEM ENTRADA
299;21/02/2025;999999992279639;1;1;SA?DA DO ESTOQUE
299;03/03/2025;999999992279639;2;2;SA?DA DO ESTOQUE
203;20/02/2025;999999992279760;1;1;SA?DA DO ESTOQUE
225;24/02/2025;999999992279991;1;1;SA?DA DO ESTOQUE
024;02/01/2025;999999992280009;1;1;AJUSTE CONTAGEM SAIDA
417;11/01/2025;999999992494886;3;1;AJUSTE CONTAGEM ENTRADA
203;27/02/2025;999999992280055;0;1;ENTRADA NO ESTOQUE
225;20/05/2025;999999992280056;-1;1;ENTRADA NO ESTOQUE
299;23/05/2025;999999992280077;1;1;SA?DA DO ESTOQUE
299;22/03/2025;999999992280077;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280077;2;1;SA?DA DO ESTOQUE
299;24/01/2025;999999992280077;1;1;SA?DA DO ESTOQUE
299;22/03/2025;999999992280078;1;1;SA?DA DO ESTOQUE
299;06/02/2025;999999992280078;2;1;SA?DA DO ESTOQUE
DES;07/01/2025;999999992280078;2;2;SA?DA DO ESTOQUE
299;03/01/2025;999999992280079;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280079;1;1;SA?DA DO ESTOQUE
299;06/02/2025;999999992280079;1;1;SA?DA DO ESTOQUE
DES;07/01/2025;999999992280079;1;1;SA?DA DO ESTOQUE
299;16/05/2025;999999992280080;2;2;SA?DA DO ESTOQUE
299;14/02/2025;999999992280080;2;2;SA?DA DO ESTOQUE
299;14/02/2025;999999992280081;1;1;SA?DA DO ESTOQUE
299;16/05/2025;999999992280082;1;1;SA?DA DO ESTOQUE
299;27/03/2025;999999992280082;1;1;SA?DA DO ESTOQUE
299;03/03/2025;999999992280083;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280083;1;1;SA?DA DO ESTOQUE
299;03/03/2025;999999992280084;1;1;SA?DA DO ESTOQUE
299;03/01/2025;999999992280084;2;2;SA?DA DO ESTOQUE
DES;16/01/2025;999999992280084;1;1;SA?DA DO ESTOQUE
DES;16/01/2025;999999992280085;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280085;2;2;SA?DA DO ESTOQUE
299;06/02/2025;999999992280085;1;1;SA?DA DO ESTOQUE
299;27/03/2025;999999992280086;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280086;1;1;SA?DA DO ESTOQUE
299;03/03/2025;999999992280089;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280089;1;1;SA?DA DO ESTOQUE
299;06/02/2025;999999992280089;1;1;SA?DA DO ESTOQUE
299;23/05/2025;999999992280090;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280090;3;3;SA?DA DO ESTOQUE
299;16/05/2025;999999992280091;1;1;SA?DA DO ESTOQUE
299;03/03/2025;999999992280091;1;1;SA?DA DO ESTOQUE
299;27/01/2025;999999992280091;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280092;1;1;SA?DA DO ESTOQUE
DES;07/01/2025;999999992280092;4;4;SA?DA DO ESTOQUE
DES;07/01/2025;999999992280094;1;1;SA?DA DO ESTOQUE
299;15/03/2025;999999992280095;1;1;SA?DA DO ESTOQUE
299;22/03/2025;999999992280096;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280096;3;2;SA?DA DO ESTOQUE
109;10/01/2025;999999992280097;1;1;SA?DA DO ESTOQUE
299;27/01/2025;999999992280097;1;1;SA?DA DO ESTOQUE
DES;07/01/2025;999999992280098;1;1;SA?DA DO ESTOQUE
024;10/06/2025;999999992280102;3;1;SA?DA DO ESTOQUE
299;22/03/2025;999999992280109;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280109;2;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280110;2;2;SA?DA DO ESTOQUE
299;16/05/2025;999999992280111;1;1;SA?DA DO ESTOQUE
299;22/03/2025;999999992280111;1;1;SA?DA DO ESTOQUE
061;18/03/2025;999999992280112;4;1;AJUSTE CONTAGEM SAIDA
299;14/02/2025;999999992280112;1;1;SA?DA DO ESTOQUE
299;22/03/2025;999999992280113;1;1;SA?DA DO ESTOQUE
299;03/01/2025;999999992280117;1;1;SA?DA DO ESTOQUE
299;27/01/2025;999999992280119;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280122;1;1;SA?DA DO ESTOQUE
299;16/05/2025;999999992280123;1;1;SA?DA DO ESTOQUE
299;03/01/2025;999999992280123;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280124;2;2;SA?DA DO ESTOQUE
299;16/05/2025;999999992280128;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280128;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992280131;1;1;SA?DA DO ESTOQUE
203;20/02/2025;999999992280143;1;1;SA?DA DO ESTOQUE
203;20/02/2025;999999992280169;1;1;AJUSTE CONTAGEM SAIDA
064;11/01/2025;999999992500176;0;1;AJUSTE CONTAGEM ENTRADA
212;10/02/2025;999999992280179;0;1;ENTRADA NO ESTOQUE
225;09/05/2025;999999992280199;-1;1;ENTRADA NO ESTOQUE
069;29/01/2025;999999992280257;0;1;ENTRADA NO ESTOQUE
299;27/03/2025;999999992280473;1;1;SA?DA DO ESTOQUE
367;11/01/2025;999999992523120;-1;1;AJUSTE CONTAGEM ENTRADA
367;11/01/2025;999999992524849;-1;1;AJUSTE CONTAGEM ENTRADA
032;16/05/2025;999999992280659;2;2;AJUSTE CONTAGEM SAIDA
039;13/05/2025;999999992280659;4;1;AJUSTE CONTAGEM SAIDA
367;11/01/2025;999999992526771;-1;1;AJUSTE CONTAGEM ENTRADA
367;11/01/2025;999999992527077;-1;1;AJUSTE CONTAGEM ENTRADA
068;23/05/2025;999999992280711;1;1;AJUSTE CONTAGEM SAIDA
092;13/03/2025;999999992280815;1;1;SA?DA DO ESTOQUE
092;13/03/2025;999999992280815;1;1;SA?DA DO ESTOQUE
092;13/03/2025;999999992280833;3;1;SA?DA DO ESTOQUE
092;13/03/2025;999999992280833;3;1;SA?DA DO ESTOQUE
109;16/06/2025;999999992280838;0;1;ENTRADA NO ESTOQUE
001;02/06/2025;999999992280842;0;1;ENTRADA NO ESTOQUE
024;10/06/2025;999999992280960;1;1;SA?DA DO ESTOQUE
092;13/03/2025;999999992280976;1;1;SA?DA DO ESTOQUE
124;22/04/2025;999999992281044;0;1;ENTRADA NO ESTOQUE
367;11/01/2025;999999992527982;-1;1;AJUSTE CONTAGEM ENTRADA
124;22/04/2025;999999992281058;0;1;ENTRADA NO ESTOQUE
069;25/03/2025;999999992281120;1;1;SA?DA DO ESTOQUE
299;16/05/2025;999999992281145;1;1;SA?DA DO ESTOQUE
064;13/01/2025;999999992281175;0;1;ENTRADA NO ESTOQUE
109;17/06/2025;999999992281176;0;1;ENTRADA NO ESTOQUE
061;18/03/2025;999999992281177;1;1;AJUSTE CONTAGEM SAIDA
367;11/01/2025;999999992528580;-1;1;AJUSTE CONTAGEM ENTRADA
115;06/02/2025;999999992281187;-1;1;ENTRADA NO ESTOQUE
069;25/03/2025;999999992281220;1;1;SA?DA DO ESTOQUE
064;04/04/2025;999999992281262;2;1;SA?DA DO ESTOQUE
003;26/02/2025;999999992281334;1;1;ENTRADA NO ESTOQUE
367;11/01/2025;999999992528581;-2;1;AJUSTE CONTAGEM ENTRADA
001;24/02/2025;999999992281336;1;1;AJUSTE CONTAGEM SAIDA
124;22/04/2025;999999992281390;0;1;ENTRADA NO ESTOQUE
399;28/01/2025;999999992281506;1;1;AJUSTE CONTAGEM SAIDA
399;28/01/2025;999999992281507;1;1;AJUSTE CONTAGEM SAIDA
399;28/01/2025;999999992281509;1;1;AJUSTE CONTAGEM SAIDA
026;05/03/2025;999999992281647;-1;1;ENTRADA NO ESTOQUE
009;21/03/2025;999999992281702;0;1;ENTRADA NO ESTOQUE
203;20/02/2025;999999992281829;0;1;ENTRADA NO ESTOQUE
125;10/01/2025;999999992281917;0;1;ENTRADA NO ESTOQUE
024;21/05/2025;999999992282101;2;1;SA?DA DO ESTOQUE
024;21/05/2025;999999992282101;0;1;ENTRADA NO ESTOQUE
299;06/02/2025;999999992282293;1;1;SA?DA DO ESTOQUE
129;13/06/2025;999999992282296;1;1;SA?DA DO ESTOQUE
299;14/02/2025;999999992282364;1;1;SA?DA DO ESTOQUE
061;08/01/2025;999999992282467;0;1;ENTRADA NO ESTOQUE
024;14/04/2025;999999992282565;1;1;SA?DA DO ESTOQUE
