LOJA;DATA;SKU;QTD_ANTIGA;QTDE_AJUSTE;TIPO_AJUSTE
299;02/06/2025;999999990213613;9;1;SA?DA DO ESTOQUE
024;02/01/2025;999999992337373;-1;1;AJUSTE CONTAGEM ENTRADA
113;11/03/2025;999999990213613;7;1;ENTRADA NO ESTOQUE
109;07/03/2025;999999990213613;1;1;SA?DA DO ESTOQUE
024;02/01/2025;999999992341015;-1;1;AJUSTE CONTAGEM ENTRADA
101;05/04/2025;999999990213613;7;1;AJUSTE CONTAGEM SAIDA
101;05/04/2025;999999990213613;8;1;AJUSTE CONTAGEM SAIDA
119;11/02/2025;999999990213613;5;1;AJUSTE CONTAGEM SAIDA
299;13/01/2025;999999990213613;1;1;SA?DA DO ESTOQUE
041;27/01/2025;999999990213613;-2;2;ENTRADA NO ESTOQUE
109;24/01/2025;999999990213613;-1;2;ENTRADA NO ESTOQUE
DES;16/06/2025;999999990213621;1;1;SA?DA DO ESTOQUE
061;18/03/2025;999999990213621;3;5;ENTRADA NO ESTOQUE
061;17/03/2025;999999990213621;5;2;AJUSTE CONTAGEM SAIDA
061;25/03/2025;999999990213621;8;3;AJUSTE CONTAGEM SAIDA
299;25/04/2025;999999990222704;2;2;SA?DA DO ESTOQUE
061;28/03/2025;999999990268461;-2;2;ENTRADA NO ESTOQUE
299;23/05/2025;999999990287345;1;1;SA?DA DO ESTOQUE
009;16/06/2025;999999990287345;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999990287353;1;1;SA?DA DO ESTOQUE
301;02/01/2025;999999992421262;-1;1;AJUSTE CONTAGEM ENTRADA
301;02/01/2025;999999992433399;-1;1;AJUSTE CONTAGEM ENTRADA
124;13/02/2025;999999990299187;0;1;ENTRADA NO ESTOQUE
009;05/03/2025;999999990299215;-1;1;ENTRADA NO ESTOQUE
109;10/03/2025;999999990299240;1;1;AJUSTE CONTAGEM SAIDA
343;02/01/2025;999999992448414;1;1;AJUSTE CONTAGEM ENTRADA
008;30/01/2025;999999990299515;1;1;AJUSTE CONTAGEM SAIDA
009;02/01/2025;999999992451936;-1;1;AJUSTE CONTAGEM ENTRADA
301;02/01/2025;999999992456669;-1;1;AJUSTE CONTAGEM ENTRADA
301;02/01/2025;999999992457486;-1;1;AJUSTE CONTAGEM ENTRADA
111;13/03/2025;999999990299845;1;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992457538;-1;1;AJUSTE CONTAGEM ENTRADA
446;02/01/2025;999999992463766;0;1;AJUSTE CONTAGEM ENTRADA
109;10/03/2025;999999990300090;1;1;AJUSTE CONTAGEM SAIDA
009;12/02/2025;999999990300116;1;1;AJUSTE CONTAGEM SAIDA
404;02/01/2025;999999992481215;0;1;AJUSTE CONTAGEM ENTRADA
006;17/04/2025;999999990300218;1;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992489950;-1;1;AJUSTE CONTAGEM ENTRADA
004;21/01/2025;999999990300242;1;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992489951;-1;1;AJUSTE CONTAGEM ENTRADA
004;21/01/2025;999999990300522;1;1;AJUSTE CONTAGEM SAIDA
004;16/05/2025;999999990300529;1;1;AJUSTE CONTAGEM SAIDA
024;02/01/2025;999999992494133;-1;1;AJUSTE CONTAGEM ENTRADA
006;19/02/2025;999999990300540;1;1;AJUSTE CONTAGEM SAIDA
024;02/01/2025;999999992498178;19;1;AJUSTE CONTAGEM ENTRADA
006;12/04/2025;999999990300629;1;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992519498;-2;2;AJUSTE CONTAGEM ENTRADA
301;02/01/2025;999999992519499;-4;4;AJUSTE CONTAGEM ENTRADA
297;05/03/2025;999999990366571;1;1;SA?DA DO ESTOQUE
DES;07/01/2025;999999990401561;-3;3;ENTRADA NO ESTOQUE
010;07/01/2025;999999990401565;2;2;SA?DA DO ESTOQUE
DES;07/01/2025;999999990401565;-6;6;ENTRADA NO ESTOQUE
DES;07/01/2025;999999990401567;-6;6;ENTRADA NO ESTOQUE
024;18/03/2025;999999990427710;-1;1;ENTRADA NO ESTOQUE
010;07/01/2025;999999990427710;1;1;SA?DA DO ESTOQUE
063;28/05/2025;999999990605229;19;1;AJUSTE CONTAGEM SAIDA
006;18/06/2025;999999990605229;11;11;ENTRADA NO ESTOQUE
226;17/06/2025;999999990605229;10;1;ENTRADA NO ESTOQUE
058;17/06/2025;999999990605229;6;1;SA?DA DO ESTOQUE
009;13/06/2025;999999990605229;2;1;ENTRADA NO ESTOQUE
063;02/04/2025;999999990605229;29;9;AJUSTE CONTAGEM SAIDA
006;29/01/2025;999999990605229;11;1;AJUSTE CONTAGEM SAIDA
063;28/05/2025;999999990614492;23;1;ENTRADA NO ESTOQUE
301;02/01/2025;999999992519500;-6;6;AJUSTE CONTAGEM ENTRADA
003;11/03/2025;999999990614492;16;1;ENTRADA NO ESTOQUE
301;02/01/2025;999999992519501;-6;6;AJUSTE CONTAGEM ENTRADA
DES;10/06/2025;999999990644600;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999990732082;1;1;SA?DA DO ESTOQUE
001;16/05/2025;999999990743170;8;6;AJUSTE CONTAGEM SAIDA
058;17/06/2025;999999990743170;23;1;ENTRADA NO ESTOQUE
003;20/02/2025;999999990743170;37;7;AJUSTE CONTAGEM SAIDA
062;25/04/2025;999999990743170;9;1;SA?DA DO ESTOQUE
053;20/03/2025;999999990743170;12;1;AJUSTE CONTAGEM SAIDA
003;11/03/2025;999999990743170;29;1;ENTRADA NO ESTOQUE
053;13/02/2025;999999990743170;18;1;AJUSTE CONTAGEM SAIDA
006;29/01/2025;999999990743170;15;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992519502;-4;4;AJUSTE CONTAGEM ENTRADA
047;31/01/2025;999999990743170;1;1;AJUSTE CONTAGEM SAIDA
067;04/02/2025;999999990743170;26;1;SA?DA DO ESTOQUE
008;23/05/2025;999999990743171;0;1;ENTRADA NO ESTOQUE
026;05/05/2025;999999990743171;23;1;AJUSTE CONTAGEM SAIDA
127;15/05/2025;999999990743171;2;1;AJUSTE CONTAGEM SAIDA
058;17/06/2025;999999990743171;13;1;SA?DA DO ESTOQUE
301;02/01/2025;999999992519503;-2;2;AJUSTE CONTAGEM ENTRADA
062;25/04/2025;999999990743171;9;1;SA?DA DO ESTOQUE
343;02/01/2025;999999992524821;0;3;AJUSTE CONTAGEM ENTRADA
343;02/01/2025;999999992524822;4;1;AJUSTE CONTAGEM ENTRADA
074;17/02/2025;999999990743171;-1;1;ENTRADA NO ESTOQUE
343;02/01/2025;999999992524871;0;1;AJUSTE CONTAGEM ENTRADA
032;05/02/2025;999999990743171;33;1;AJUSTE CONTAGEM SAIDA
343;02/01/2025;999999992524997;1;1;AJUSTE CONTAGEM ENTRADA
343;02/01/2025;999999992527043;2;1;AJUSTE CONTAGEM ENTRADA
053;30/01/2025;999999990743171;54;1;AJUSTE CONTAGEM SAIDA
065;21/01/2025;999999990743171;18;1;ENTRADA NO ESTOQUE
042;15/05/2025;999999990743202;5;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;6;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;10;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;11;1;AJUSTE CONTAGEM SAIDA
343;02/01/2025;999999992528613;0;1;AJUSTE CONTAGEM ENTRADA
042;15/05/2025;999999990743202;14;1;AJUSTE CONTAGEM SAIDA
343;02/01/2025;999999992531109;0;1;AJUSTE CONTAGEM ENTRADA
301;02/01/2025;999999992531109;-1;1;AJUSTE CONTAGEM ENTRADA
343;02/01/2025;999999992531220;1;1;AJUSTE CONTAGEM ENTRADA
042;15/05/2025;999999990743202;8;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;13;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;12;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;15;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;16;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;1;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;2;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;4;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;3;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;9;1;AJUSTE CONTAGEM SAIDA
042;15/05/2025;999999990743202;7;1;AJUSTE CONTAGEM SAIDA
421;02/01/2025;999999992540758;2;1;AJUSTE CONTAGEM ENTRADA
034;16/04/2025;999999990743202;-4;4;ENTRADA NO ESTOQUE
019;24/02/2025;999999990743202;3;1;SA?DA DO ESTOQUE
036;07/06/2025;999999990744496;1;1;SA?DA DO ESTOQUE
024;23/05/2025;999999990744496;6;1;SA?DA DO ESTOQUE
058;17/06/2025;999999990744496;-1;1;ENTRADA NO ESTOQUE
019;24/02/2025;999999990744496;29;1;SA?DA DO ESTOQUE
109;24/02/2025;999999990744496;19;1;ENTRADA NO ESTOQUE
007;24/02/2025;999999990744496;33;1;ENTRADA NO ESTOQUE
023;24/01/2025;999999990744496;26;1;ENTRADA NO ESTOQUE
023;24/01/2025;999999990744496;26;1;SA?DA DO ESTOQUE
037;03/05/2025;999999990755091;5;1;AJUSTE CONTAGEM SAIDA
038;03/06/2025;999999990755091;1;1;AJUSTE CONTAGEM SAIDA
037;03/05/2025;999999990755091;2;1;AJUSTE CONTAGEM SAIDA
037;03/05/2025;999999990755091;1;1;AJUSTE CONTAGEM SAIDA
037;03/05/2025;999999990755091;3;1;AJUSTE CONTAGEM SAIDA
037;03/05/2025;999999990755091;4;1;AJUSTE CONTAGEM SAIDA
019;07/04/2025;999999990763853;1;1;SA?DA DO ESTOQUE
DES;21/05/2025;999999990776737;-3;3;ENTRADA NO ESTOQUE
DES;21/05/2025;999999990776737;-3;1;ENTRADA NO ESTOQUE
010;10/01/2025;999999990776737;0;1;ENTRADA NO ESTOQUE
034;14/05/2025;999999990779326;31;1;ENTRADA NO ESTOQUE
039;22/06/2025;999999990779326;24;1;SA?DA DO ESTOQUE
105;11/06/2025;999999990779326;35;1;ENTRADA NO ESTOQUE
105;17/04/2025;999999990779326;39;1;ENTRADA NO ESTOQUE
105;17/04/2025;999999990779326;38;1;ENTRADA NO ESTOQUE
023;22/04/2025;999999990779326;33;1;ENTRADA NO ESTOQUE
005;02/01/2025;999999992542750;1;1;AJUSTE CONTAGEM ENTRADA
109;24/02/2025;999999990779326;35;6;ENTRADA NO ESTOQUE
058;08/04/2025;999999990779326;35;1;AJUSTE CONTAGEM SAIDA
