LOJA;DATA;COMPLEMENTO;SKU;QTDEMOVIMENTADA;VALOR
111;13/03/2025;1267029;999999992450677;1;"39,99"
111;13/03/2025;1267029;999999992485476;1;"29,99"
111;13/03/2025;1267029;999999992577356;1;"79,99"
111;13/03/2025;1267029;999999992596097;1;"69,99"
127;07/03/2025;1263697;999999992574043;1;"42,99"
127;07/03/2025;1263697;999999992496925;1;"79,99"
127;07/03/2025;1263697;999999992277967;1;"49,99"
127;07/03/2025;1263697;999999992574512;1;"69,99"
127;07/03/2025;1263697;999999992447510;1;"179,99"
127;07/03/2025;1263697;999999992531576;1;"129,99"
127;07/03/2025;1263697;999999992488581;1;"54,99"
127;07/03/2025;1263697;999999992531600;1;"129,99"
127;07/03/2025;1263697;999999992115965;1;"199,99"
127;07/03/2025;1263697;999999991919952;1;"199,99"
127;07/03/2025;1263697;999999992632712;1;"49,99"
127;07/03/2025;1263697;999999992503807;1;"99,99"
127;07/03/2025;1263697;999999992006107;1;"49,99"
127;07/03/2025;1263697;999999992636605;1;"189,99"
445;20/03/2025;1269756;999999992574520;1;"59,99"
445;20/03/2025;1269756;999999992065799;1;"49,99"
445;20/03/2025;1269756;999999992575193;1;"49,99"
445;20/03/2025;1269756;999999992575229;1;"59,99"
445;20/03/2025;1269756;999999992615108;1;"39,99"
127;07/03/2025;1263697;999999992065801;1;"49,99"
127;07/03/2025;1263697;999999992336058;1;"34,99"
127;07/03/2025;1263697;999999991763685;1;"42,99"
127;07/03/2025;1263697;999999992078060;1;"29,99"
127;07/03/2025;1263697;999999992441455;1;"69,99"
127;07/03/2025;1263697;999999992498809;1;"19,99"
127;07/03/2025;1263697;999999992512285;1;"39,99"
127;07/03/2025;1263697;999999992526530;2;"69,99"
127;07/03/2025;1263697;999999992572126;1;"64,99"
127;07/03/2025;1263697;999999992622701;1;"189,99"
127;07/03/2025;1263697;999999992632661;1;"49,99"
127;07/03/2025;1263697;999999992632701;1;"69,99"
127;07/03/2025;1263697;999999992632703;1;"69,99"
109;07/03/2025;1263878;999999992105477;1;"39,99"
109;07/03/2025;1263878;999999992575659;1;"399,99"
109;07/03/2025;1263878;999999992619274;1;"499,99"
109;07/03/2025;1263940;999999992114138;1;"109,99"
109;07/03/2025;1263940;999999992545724;1;"229,99"
109;07/03/2025;1263940;999999992594218;1;"59,99"
109;07/03/2025;1263940;999999992603370;1;"79,99"
109;07/03/2025;1263940;999999992650326;1;"379,99"
111;13/03/2025;1267520;999999992593841;1;"119,99"
111;13/03/2025;1267520;999999992624091;1;"129,99"
125;26/03/2025;1271941;999999992574688;1;"109,99"
125;26/03/2025;1271941;999999992544799;1;"119,99"
297;05/03/2025;1263372;999999991886768;1;"139,99"
430;24/03/2025;1270391;999999992510862;1;"49,99"
430;24/03/2025;1270391;999999992514359;1;"69,99"
430;24/03/2025;1270391;999999992616129;1;"139,99"
430;24/03/2025;1270391;999999992616539;1;"139,99"
430;24/03/2025;1270391;999999992623764;1;"99,99"
226;17/03/2025;1268389;999999992093639;1;"189,99"
226;17/03/2025;1268385;999999992567979;1;"399,99"
127;04/03/2025;1262788;999999992343808;1;"149,99"
127;04/03/2025;1262788;999999992343809;1;"149,99"
127;04/03/2025;1262788;999999992360370;1;"369,99"
339;06/03/2025;1262066;999999992477513;1;"39,99"
339;06/03/2025;1262066;999999992477515;1;"39,99"
