LOJA;DATA;COMPLEMENTO;SKU;QTDEMOVIMENTADA;VALOR
343;05/06/2025;1304180;999999992654629;1;"469,99"
343;05/06/2025;1304180;999999992658494;1;"149,99"
343;05/06/2025;1304180;999999992637461;1;"549,99"
343;05/06/2025;1304180;999999992660647;1;"499,99"
343;05/06/2025;1304180;999999992660646;1;"499,99"
343;05/06/2025;1304180;999999992586418;1;"349,99"
343;05/06/2025;1304180;999999992641018;1;"199,99"
343;05/06/2025;1304180;999999992638915;1;"399,99"
343;05/06/2025;1304180;999999992638918;1;"399,99"
343;05/06/2025;1304180;999999992638917;1;"399,99"
343;05/06/2025;1304180;999999992638916;2;"399,99"
343;05/06/2025;1304180;999999992573914;1;"299,99"
343;05/06/2025;1304180;999999992666578;1;"699,99"
343;05/06/2025;1304180;999999992531610;3;"499,99"
343;05/06/2025;1304180;999999992586420;2;"349,99"
343;05/06/2025;1304180;999999992589682;1;"359,99"
343;05/06/2025;1304180;999999992657412;1;"599,99"
343;05/06/2025;1304180;999999992657413;1;"599,99"
343;05/06/2025;1304180;999999992660648;3;"499,99"
343;05/06/2025;1304180;999999992660649;2;"499,99"
343;05/06/2025;1304180;999999992666580;1;"699,99"
001;02/06/2025;1302838;999999992668503;1;"149,99"
003;03/06/2025;1303139;999999992526391;1;"289,99"
003;03/06/2025;1303138;999999992620281;1;"169,99"
215;03/06/2025;1303198;999999992118058;1;"49,99"
349;06/06/2025;1305002;999999992528505;1;"599,99"
349;06/06/2025;1305002;999999992497124;1;"99,99"
127;04/06/2025;1303840;999999992532298;1;"254,99"
127;04/06/2025;1303840;999999992610265;1;"209,99"
306;04/06/2025;1303842;999999992327887;1;"29,99"
001;02/06/2025;1302848;999999992462992;1;"39,99"
001;02/06/2025;1302848;999999992463729;1;"79,99"
022;06/06/2025;1304993;999999992640573;1;"1799,99"
022;06/06/2025;1304993;999999992629931;1;"1799,99"
124;05/06/2025;1304368;999999992154497;1;"239,99"
124;05/06/2025;1304368;999999992613566;1;"249,99"
124;05/06/2025;1304368;999999992640749;1;"129,99"
343;05/06/2025;1304234;999999992637441;2;"399,99"
343;05/06/2025;1304234;999999992637439;4;"399,99"
343;05/06/2025;1304234;999999992531776;1;"399,99"
343;05/06/2025;1304234;999999992638685;1;"299,99"
349;05/06/2025;1304554;999999992637566;1;"219,99"
349;05/06/2025;1304554;999999992638391;1;"129,99"
349;05/06/2025;1304554;999999992641307;1;"139,99"
349;05/06/2025;1304581;999999992433338;1;"129,99"
349;06/06/2025;1304997;999999992539810;1;"199,99"
349;06/06/2025;1304997;999999992516159;1;"149,99"
053;05/06/2025;1304630;999999992549463;1;"339,99"
053;05/06/2025;1304630;999999992622849;1;"69,99"
349;06/06/2025;1305007;999999992573043;1;"189,99"
349;06/06/2025;1305007;999999992572135;1;"319,99"
367;06/06/2025;1304853;999999992533206;1;"179,99"
367;06/06/2025;1304853;999999992433960;1;"149,99"
367;06/06/2025;1304853;999999992532244;1;"179,99"
367;06/06/2025;1304853;999999992346472;1;"199,99"
367;06/06/2025;1304853;999999992524811;1;"169,99"
367;06/06/2025;1304853;999999992438272;1;"119,99"
367;06/06/2025;1304853;999999992628752;2;"89,99"
367;06/06/2025;1304853;999999992648724;1;"99,99"
367;06/06/2025;1304853;999999992574050;1;"169,99"
367;06/06/2025;1304853;999999992580733;1;"349,99"
367;06/06/2025;1304853;999999992524959;1;"149,99"
367;06/06/2025;1304853;999999992599700;1;"269,99"
367;06/06/2025;1304853;999999992624333;1;"199,99"
367;06/06/2025;1304853;999999992624335;1;"199,99"
367;06/06/2025;1304853;999999992621255;1;"179,99"
367;06/06/2025;1304853;999999991919971;1;"229,99"
367;06/06/2025;1304853;999999992230067;1;"149,99"
367;06/06/2025;1304853;999999992363035;1;"129,99"
367;06/06/2025;1304853;999999992467366;1;"179,99"
367;06/06/2025;1304853;999999992580738;1;"339,99"
367;06/06/2025;1304853;999999992606587;1;"279,99"
349;06/06/2025;1305006;999999992620663;1;"349,99"
349;06/06/2025;1305005;999999992511081;1;"79,99"
349;06/06/2025;1305005;999999992492736;1;"149,99"
004;02/06/2025;1302953;999999992643127;1;"129,99"
224;04/06/2025;1303511;999999992177953;1;"29,99"
224;04/06/2025;1303511;999999992237847;1;"29,99"
224;04/06/2025;1303511;999999992242557;1;"7,99"
224;04/06/2025;1303511;999999992200169;1;"26,99"
224;04/06/2025;1303511;999999992275408;1;"29,99"
224;04/06/2025;1303511;999999992288829;1;"7,99"
224;04/06/2025;1303511;999999992328840;1;"12,99"
224;04/06/2025;1303511;999999992187283;1;"22,99"
224;04/06/2025;1303511;999999992288830;1;"7,99"
124;04/06/2025;1303557;999999992524145;1;"199,99"
124;04/06/2025;1303557;999999992561702;1;"159,99"
124;04/06/2025;1303557;999999992561703;1;"159,99"
124;04/06/2025;1303557;999999992513072;1;"89,99"
343;05/06/2025;1304186;999999992630423;1;"99,99"
343;05/06/2025;1304186;999999992574162;1;"99,99"
343;05/06/2025;1304186;999999992651751;1;"119,99"
343;05/06/2025;1304186;999999992651752;1;"119,99"
343;05/06/2025;1304186;999999992651753;1;"129,99"
343;05/06/2025;1304186;999999992651754;1;"129,99"
343;05/06/2025;1304191;999999992527235;1;"99,99"
343;05/06/2025;1304191;999999992533110;1;"299,99"
343;05/06/2025;1304191;999999992594785;1;"169,99"
343;05/06/2025;1304181;999999992069055;1;"199,99"
343;05/06/2025;1304181;999999992637187;1;"399,99"
367;06/06/2025;1304863;999999992633386;1;"299,99"
367;06/06/2025;1304863;999999992581675;1;"249,99"
367;06/06/2025;1304863;999999992532655;2;"199,99"
367;06/06/2025;1304863;999999992629959;1;"129,99"
367;06/06/2025;1304863;999999992621268;2;"229,99"
367;06/06/2025;1304863;999999992504145;1;"219,99"
367;06/06/2025;1304863;999999992527623;1;"149,99"
367;06/06/2025;1304863;999999992533053;1;"199,99"
367;06/06/2025;1304863;999999992573966;1;"149,99"
367;06/06/2025;1304863;999999992621608;1;"149,99"
367;06/06/2025;1304863;999999992648728;1;"149,99"
367;06/06/2025;1304863;999999992648729;1;"149,99"
343;05/06/2025;1304181;999999992637188;2;"399,99"
343;05/06/2025;1304181;999999992663550;1;"219,99"
343;05/06/2025;1304181;999999992637504;1;"219,99"
343;05/06/2025;1304181;999999992615519;1;"149,99"
343;05/06/2025;1304181;999999992586438;1;"129,99"
343;05/06/2025;1304181;999999992663551;1;"219,99"
343;05/06/2025;1304169;999999992636727;1;"89,99"
343;05/06/2025;1304169;999999992665115;1;
343;05/06/2025;1304169;999999992346471;1;"199,99"
343;05/06/2025;1304169;999999992638564;1;"249,99"
343;05/06/2025;1304169;999999992662957;1;"199,99"
343;05/06/2025;1304169;999999992640691;1;"219,99"
343;05/06/2025;1304169;999999992637323;1;"189,99"
343;05/06/2025;1304169;999999992606666;3;"229,99"
343;05/06/2025;1304169;999999992621259;1;"179,99"
