LOJA;DATA;COMPLEMENTO;SKU;QTDEMOVIMENTADA;VALOR
120;14/04/2025;1280068;999999992578398;1;"49,99"
076;14/04/2025;1279746;999999992105478;1;"39,99"
063;01/04/2025;1273737;999999992578507;1;"69,99"
063;01/04/2025;1273737;999999992328734;1;"29,99"
034;15/04/2025;1280335;999999992568942;1;"459,99"
124;04/04/2025;1276105;999999992036563;1;"54,99"
124;04/04/2025;1276105;999999992372658;1;"29,99"
124;04/04/2025;1276105;999999992541334;1;"29,99"
364;15/04/2025;1278524;999999992546112;-1;"47,99"
364;15/04/2025;1278524;999999992617312;1;"59,99"
044;07/04/2025;1276906;999999992068614;1;"379,99"
065;07/04/2025;1276981;999999992574627;1;"249,99"
065;07/04/2025;1276981;999999992629929;1;"1799,99"
017;08/04/2025;1277306;999999992513081;1;"139,99"
034;16/04/2025;1281478;999999990605159;1;"21,99"
034;16/04/2025;1281478;999999992320903;-1;"11,99"
034;16/04/2025;1281477;999999992328837;1;"29,99"
034;16/04/2025;1281477;999999992594671;1;"19,99"
034;16/04/2025;1281477;999999991584751;1;"19,99"
034;16/04/2025;1281477;999999992594672;1;"19,99"
034;16/04/2025;1281477;999999992320370;2;"14,99"
034;16/04/2025;1281477;999999992070233;1;"19,99"
034;16/04/2025;1281477;999999992083314;1;"19,99"
034;16/04/2025;1281477;999999992320463;1;"9,99"
034;15/04/2025;1280848;999999992293053;1;"79,99"
364;15/04/2025;1278580;999999992588474;1;"299,99"
364;15/04/2025;1278598;999999992530106;1;"149,99"
364;15/04/2025;1278598;999999992659914;1;"89,99"
364;15/04/2025;1278576;999999992469791;1;"149,99"
064;01/04/2025;1273206;999999992538416;1;"129,99"
064;01/04/2025;1273206;999999992581750;1;"119,99"
064;01/04/2025;1273206;999999992606246;1;"129,99"
064;01/04/2025;1273377;999999991686814;1;"59,99"
364;15/04/2025;1278600;999999992532456;1;"179,99"
364;15/04/2025;1278600;999999992580614;1;"399,99"
364;15/04/2025;1278600;999999992638676;1;"299,99"
364;15/04/2025;1278600;999999992638679;1;"299,99"
364;15/04/2025;1278541;999999992329302;1;"69,99"
064;01/04/2025;1272764;999999992104692;1;"19,99"
064;01/04/2025;1273081;999999992503615;1;"249,99"
064;01/04/2025;1273081;999999992625692;1;"799,99"
064;01/04/2025;1273106;999999992571006;1;"179,99"
064;01/04/2025;1273374;999999992491308;1;"39,99"
064;01/04/2025;1273374;999999990213613;1;"44,99"
064;01/04/2025;1273374;999999992457495;1;"69,99"
447;04/04/2025;1275908;999999992320319;1;"14,99"
447;04/04/2025;1275908;999999992420972;1;"7,99"
447;04/04/2025;1275908;999999992613486;1;"34,99"
447;04/04/2025;1275908;999999992242557;1;"7,99"
447;04/04/2025;1275908;999999992320327;1;"14,99"
447;04/04/2025;1275908;999999991801934;1;"39,99"
447;04/04/2025;1275908;999999992187285;1;"22,99"
447;04/04/2025;1275908;999999992475271;1;"12,99"
447;04/04/2025;1275908;999999992525726;1;"29,99"
447;04/04/2025;1275908;999999992526825;1;"49,99"
447;04/04/2025;1275908;999999992585428;1;"49,99"
447;04/04/2025;1275908;999999992109540;1;"34,99"
447;04/04/2025;1275908;999999992187284;2;"22,99"
447;04/04/2025;1275908;999999992566080;1;"34,99"
447;04/04/2025;1275919;999999992638700;1;"199,99"
447;04/04/2025;1275919;999999992342359;1;"99,99"
447;04/04/2025;1275919;999999992513508;1;"179,99"
447;04/04/2025;1275911;999999992573051;1;"159,99"
447;04/04/2025;1275911;999999991686383;1;"119,99"
118;04/04/2025;1276195;999999992025114;1;"39,99"
118;04/04/2025;1276195;999999992328838;1;"29,99"
118;04/04/2025;1276195;999999992575487;1;"44,99"
115;11/04/2025;1278880;999999992575228;1;"59,99"
115;11/04/2025;1278880;999999992575306;1;"29,99"
115;11/04/2025;1278880;999999992632717;1;"69,99"
364;15/04/2025;1278541;999999992611085;1;"139,99"
364;15/04/2025;1278541;999999992625653;1;"99,99"
364;15/04/2025;1278541;999999992631721;1;"99,99"
421;15/04/2025;1278663;999999992518025;1;"39,99"
421;15/04/2025;1278663;999999992489437;1;"19,99"
421;15/04/2025;1278663;999999992305218;1;"69,99"
421;15/04/2025;1278663;999999992454829;1;"99,99"
421;15/04/2025;1278663;999999992520956;1;"69,99"
421;15/04/2025;1278663;999999992616094;1;"99,99"
421;15/04/2025;1278663;999999992653076;1;"149,99"
105;17/04/2025;1281593;999999992542271;1;"179,99"
105;17/04/2025;1281593;999999992594174;1;"129,99"
447;08/04/2025;1275858;999999992495746;1;"29,99"
447;08/04/2025;1275858;999999992575140;1;"39,99"
447;08/04/2025;1275858;999999992575302;1;"24,99"
447;08/04/2025;1275858;999999992615104;1;"39,99"
447;08/04/2025;1275858;999999992615108;1;"39,99"
306;10/04/2025;1277680;999999992608793;1;"59,99"
436;10/04/2025;1275709;999999992567572;1;"149,99"
216;15/04/2025;1280135;999999992532087;1;"279,99"
216;15/04/2025;1280135;999999992440763;1;"279,99"
216;15/04/2025;1280135;999999992532711;1;"349,99"
216;15/04/2025;1280135;999999992532928;1;"349,99"
216;15/04/2025;1280135;999999992597010;1;"399,99"
364;15/04/2025;1278523;999999992057282;1;"49,99"
364;15/04/2025;1278523;999999992065800;1;"49,99"
364;15/04/2025;1278523;999999992494452;1;"7,99"
036;08/04/2025;1277552;999999992040071;1;"459,9"
204;04/04/2025;1275513;999999992545214;1;"99,99"
204;04/04/2025;1275513;999999992545566;1;"89,99"
204;04/04/2025;1275510;999999992105211;1;"129,99"
204;04/04/2025;1275510;999999992105212;1;"129,99"
204;04/04/2025;1275510;999999992298497;1;"109,99"
204;04/04/2025;1275510;999999992298505;1;"39,99"
204;04/04/2025;1275510;999999992372849;1;"89,99"
204;04/04/2025;1275510;999999992536544;1;"119,99"
204;04/04/2025;1275510;999999992536545;1;"119,99"
066;07/04/2025;1276995;999999992540102;1;"219,99"
066;07/04/2025;1276974;999999992577373;1;"59,99"
348;03/04/2025;1274019;999999992638678;1;"299,99"
348;03/04/2025;1274019;999999992638677;2;"299,99"
348;03/04/2025;1274023;999999992653083;1;"399,99"
348;03/04/2025;1274016;999999992524811;1;"169,99"
348;03/04/2025;1274016;999999992606568;2;"179,99"
348;03/04/2025;1274016;999999992606569;1;"179,99"
348;03/04/2025;1274016;999999992606588;2;"279,99"
348;03/04/2025;1274016;999999992606589;1;"279,99"
348;03/04/2025;1274016;999999992460153;1;"179,99"
348;03/04/2025;1274016;999999992606636;1;"349,99"
348;03/04/2025;1274016;999999992621311;1;"169,99"
348;03/04/2025;1274016;999999992533186;2;"259,99"
348;03/04/2025;1274016;999999992533206;2;"179,99"
348;03/04/2025;1274016;999999992027723;1;"179,99"
348;03/04/2025;1274016;999999992027724;2;"179,99"
348;03/04/2025;1274016;999999992460152;1;"179,99"
348;03/04/2025;1274016;999999992519027;1;"249,99"
348;03/04/2025;1274016;999999992524820;1;"169,99"
348;03/04/2025;1274016;999999992524901;1;"199,99"
348;03/04/2025;1274016;999999992533138;1;"149,99"
348;03/04/2025;1274016;999999992533208;1;"179,99"
348;03/04/2025;1274016;999999992606570;1;"179,99"
348;03/04/2025;1274016;999999992606635;1;"349,99"
348;03/04/2025;1274016;999999992635914;1;"149,99"
348;03/04/2025;1274016;999999992635915;3;"149,99"
503;16/04/2025;1281045;999999992329985;4;"139,99"
503;16/04/2025;1281045;999999992329996;1;"149,99"
503;16/04/2025;1281045;999999992329997;2;"139,99"
503;16/04/2025;1281045;999999992329998;3;"119,99"
503;16/04/2025;1281045;999999992329999;1;"149,99"
503;16/04/2025;1281045;999999992330001;1;"149,99"
503;16/04/2025;1281045;999999992330358;2;"129,99"
503;16/04/2025;1281045;999999992330383;2;"179,99"
503;16/04/2025;1281045;999999992330408;2;"179,99"
503;16/04/2025;1281045;999999992330447;1;"179,99"
503;16/04/2025;1281045;999999992458236;2;"129,99"
503;16/04/2025;1281045;999999992476002;1;"209,99"
503;16/04/2025;1281045;999999992476003;2;"129,99"
503;16/04/2025;1281045;999999992476004;2;"179,99"
503;16/04/2025;1281045;999999992476005;3;"129,99"
503;16/04/2025;1281045;999999992476006;2;"159,99"
503;16/04/2025;1281045;999999992510117;2;"219,99"
503;16/04/2025;1281045;999999992637295;1;"139,99"
503;16/04/2025;1281045;999999992637296;3;"139,99"
503;16/04/2025;1281045;999999992637298;2;"129,99"
503;16/04/2025;1281045;999999992637299;2;"129,99"
503;16/04/2025;1281045;999999992637300;1;"129,99"
503;16/04/2025;1281045;999999992637301;1;"129,99"
503;16/04/2025;1281045;999999992637302;1;"129,99"
503;16/04/2025;1281045;999999992637304;2;"169,99"
503;16/04/2025;1281045;999999992637306;2;"129,99"
503;16/04/2025;1281045;999999992637308;3;"129,99"
503;16/04/2025;1281045;999999992637309;1;"159,99"
503;16/04/2025;1281045;999999992637310;1;"159,99"
503;16/04/2025;1281045;999999992637311;1;"159,99"
503;16/04/2025;1281045;999999992637313;1;"159,99"
503;16/04/2025;1281045;999999992637314;1;"159,99"
503;16/04/2025;1281045;999999992637315;2;"129,99"
503;16/04/2025;1281045;999999992637316;1;"129,99"
503;16/04/2025;1281045;999999992637333;1;"129,99"
503;16/04/2025;1281045;999999992637334;1;"129,99"
503;16/04/2025;1281045;999999992637335;1;"129,99"
503;16/04/2025;1281045;999999992637336;1;"129,99"
503;16/04/2025;1281045;999999992637337;1;"129,99"
503;16/04/2025;1281045;999999992637338;1;"129,99"
319;02/04/2025;1272881;999999992632739;1;"39,99"
348;02/04/2025;1274010;999999992632795;1;"99,99"
348;02/04/2025;1274011;999999992614660;1;"899,99"
063;02/04/2025;1274557;999999992054156;1;"149,99"
364;15/04/2025;1278603;999999991997916;1;"129,99"
364;15/04/2025;1278603;999999992346734;1;"129,99"
364;15/04/2025;1278603;999999992486228;1;"229,99"
364;15/04/2025;1278603;999999992486229;1;"229,99"
364;15/04/2025;1278603;999999992486230;1;"229,99"
364;15/04/2025;1278603;999999992486231;1;"229,99"
364;15/04/2025;1278603;999999992531674;1;"169,99"
364;15/04/2025;1278603;999999992531687;1;"169,99"
364;15/04/2025;1278603;999999992531688;2;"169,99"
364;15/04/2025;1278603;999999992531733;2;"129,99"
364;15/04/2025;1278603;999999992531734;1;"129,99"
364;15/04/2025;1278603;999999992531892;1;"199,99"
124;03/04/2025;1275127;999999992524132;1;"149,99"
120;15/04/2025;1280401;999999992632711;1;"49,99"
065;07/04/2025;1276949;999999992565473;1;"249,99"
065;07/04/2025;1276949;999999992565474;2;"249,99"
065;07/04/2025;1276949;999999992565475;3;"249,99"
065;07/04/2025;1276949;999999992565476;3;"249,99"
065;07/04/2025;1276949;999999992565477;2;"249,99"
065;07/04/2025;1276949;999999992575788;1;"249,99"
216;15/04/2025;1280160;999999992544018;1;"149,99"
